time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;0.6887;0.68922;-5.2;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;0.68869;0.68926;-5.7;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;0.68926;0.68912;1.4;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;0.68913;0.68872;4.1;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;0.68872;0.68883;-1.1;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;0.68932;0.68972;-4.0;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;0.69085;0.69086;-0.1;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;0.69075;0.69103;-2.8;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;0.69078;0.69122;-4.4;NZD;1;GDT Price Index
2019.01.02 16:55:00;0.69078;0.69122;-4.4;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;0.68692;0.68762;-7.0;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;0.68797;0.68814;-1.7;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;0.68678;0.68663;1.5;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;0.68665;0.68678;-1.3;EUR;1;Private Loans y/y
2019.01.03 11:30:00;0.68754;0.6871;4.4;GBP;1;Construction PMI
2019.01.03 11:55:00;0.68674;0.68677;-0.3;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;0.68837;0.68834;0.3;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;0.68902;0.69005;-10.3;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;0.68928;0.68914;1.4;USD;1;Unemployment Claims
2019.01.03 17:00:00;0.69083;0.68842;24.1;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;0.69083;0.68842;24.1;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;0.69083;0.68842;24.1;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;0.69083;0.68842;24.1;USD;1;Wards Total Vehicle Sales (All Day)
