time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.04677;1.04679;-0.2;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.04651;1.04667;-1.6;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.04667;1.04641;2.6;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.04644;1.04601;4.3;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.046;1.04569;3.1;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.04628;1.04632;-0.4;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.04716;1.0474;-2.4;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.04709;1.04753;-4.4;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.04738;1.04713;2.5;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.04738;1.04713;2.5;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.04769;1.04782;-1.3;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.04811;1.04847;-3.6;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.04762;1.0474;2.2;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.04741;1.04734;0.7;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.04819;1.04816;0.3;GBP;1;Construction PMI
2019.01.03 11:55:00;1.048;1.04827;-2.7;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.04885;1.04897;-1.2;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.04929;1.05004;-7.5;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.04931;1.0495700000000001;-2.6;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.04864;1.04831;3.3;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.04864;1.04831;3.3;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;1.04864;1.04831;3.3;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;1.04864;1.04831;3.3;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;1.04749;1.04731;1.8;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;1.04709;1.04711;-0.2;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;1.04724;1.04777;-5.3;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;1.04951;1.04955;-0.4;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;1.04949;1.04978;-2.9;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;1.04976;1.04967;0.9;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;1.05004;1.05023;-1.9;EUR;1;Italian Services PMI
2019.01.04 10:50:00;1.05026;1.05022;0.4;EUR;1;French Final Services PMI
2019.01.04 10:55:00;1.05027;1.05021;0.6;EUR;1;German Final Services PMI
2019.01.04 10:55:00;1.05027;1.05021;0.6;EUR;1;German Unemployment Change
2019.01.04 11:00:00;1.0502;1.05061;-4.1;EUR;1;Final Services PMI
2019.01.04 11:30:00;1.05057;1.05035;2.2;GBP;2;Final Services PMI
2019.01.04 11:30:00;1.05057;1.05035;2.2;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;1.05057;1.05035;2.2;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;1.05057;1.05035;2.2;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;1.05153;1.05179;-2.6;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;1.05153;1.05179;-2.6;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;1.05153;1.05179;-2.6;EUR;1;PPI m/m
2019.01.04 12:00:00;1.05153;1.05179;-2.6;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;1.05312;1.05287;2.5;CAD;3;Employment Change
