time;open;close;diff openclose;currency;impact;news
2007.01.01 00:00:00;0.7898;0.7875;230.0;CHF;0;Bank Holiday (All Day)
2007.01.01 00:00:00;0.7898;0.7875;230.0;EUR;0;German Bank Holiday (All Day)
2007.01.01 00:00:00;0.7898;0.7875;230.0;EUR;0;French Bank Holiday (All Day)
2007.01.01 00:00:00;0.7898;0.7875;230.0;EUR;0;Italian Bank Holiday (All Day)
2007.01.01 00:00:00;0.7898;0.7875;230.0;GBP;0;Bank Holiday (All Day)
2007.01.01 00:00:00;0.7898;0.7875;230.0;CAD;0;Bank Holiday (All Day)
2007.01.01 00:00:00;0.7898;0.7875;230.0;USD;0;Bank Holiday (All Day)
2007.01.01 00:00:00;0.7898;0.7875;230.0;NZD;0;Bank Holiday (All Day)
2007.01.01 17:25:00;0.7886;0.7887;-10.0;AUD;1;AIG Manufacturing Index
2007.01.01 19:00:00;0.7891;0.789;10.0;CNY;0;Bank Holiday
2007.01.01 19:00:00;0.7891;0.789;10.0;JPY;0;Bank Holiday (All Day)
2007.01.01 21:25:00;0.7895;0.7894;10.0;CNY;2;Caixin Manufacturing PMI
2007.01.02 00:25:00;0.7907;0.7909;-20.0;AUD;2;Commodity Prices y/y
2007.01.02 00:25:00;0.7907;0.7909;-20.0;CHF;0;Bank Holiday (All Day)
2007.01.02 03:15:00;0.7928;0.7929;-10.0;EUR;1;Spanish Manufacturing PMI
2007.01.02 03:45:00;0.793;0.7935;-50.0;EUR;1;Italian Manufacturing PMI
2007.01.02 04:00:00;0.7931;0.7932;-10.0;EUR;2;Final Manufacturing PMI
2007.01.02 04:25:00;0.7931;0.7931;0.0;GBP;2;Final Manufacturing PMI
2007.01.02 04:25:00;0.7931;0.7931;0.0;JPY;0;Bank Holiday (All Day)
2007.01.03 03:00:00;0.7975;0.7974;10.0;EUR;1;Spanish Unemployment Change
2007.01.03 03:25:00;0.797;0.7972;-20.0;CHF;2;Manufacturing PMI
2007.01.03 03:55:00;0.7975;0.7974;10.0;EUR;2;German Unemployment Change
2007.01.03 04:25:00;0.7972;0.7972;0.0;GBP;1;Construction PMI
2007.01.03 05:05:00;0.7968;0.7967;10.0;EUR;1;German 10-y Bond Auction
2007.01.03 08:15:00;0.7968;0.797;-20.0;USD;2;ADP Non-Farm Employment Change
2007.01.03 10:00:00;0.7958;0.7954;40.0;USD;3;ISM Manufacturing PMI
2007.01.03 10:00:00;0.7958;0.7954;40.0;USD;1;Construction Spending m/m
2007.01.03 10:00:00;0.7958;0.7954;40.0;USD;1;ISM Manufacturing Prices
2007.01.03 10:00:00;0.7958;0.7954;40.0;USD;1;Total Vehicle Sales (All Day)
2007.01.03 14:00:00;0.795;0.795;0.0;USD;3;FOMC Meeting Minutes
2007.01.03 16:45:00;0.7916;0.7912;40.0;NZD;3;Trade Balance
2007.01.03 17:25:00;0.7907;0.7906;10.0;AUD;1;AIG Services Index
2007.01.04 01:45:00;0.7915;0.7916;-10.0;CHF;3;CPI m/m
2007.01.04 03:15:00;0.7915;0.7915;0.0;EUR;1;Spanish Services PMI
2007.01.04 03:45:00;0.791;0.7911;-10.0;EUR;1;Italian Services PMI
2007.01.04 04:00:00;0.7909;0.7905;40.0;EUR;1;Final Services PMI
