time;open;close;diff openclose;currency;impact;news
2013.01.01 00:00:00;13.51;13.3;0.21;CHF;0;Bank Holiday (All Day)
2013.01.01 00:00:00;13.51;13.3;0.21;EUR;0;German Bank Holiday (All Day)
2013.01.01 00:00:00;13.51;13.3;0.21;EUR;0;French Bank Holiday (All Day)
2013.01.01 00:00:00;13.51;13.3;0.21;EUR;0;Italian Bank Holiday (All Day)
2013.01.01 00:00:00;13.51;13.3;0.21;GBP;0;Bank Holiday (All Day)
2013.01.01 00:00:00;13.51;13.3;0.21;CAD;0;Bank Holiday (All Day)
2013.01.01 00:00:00;13.51;13.3;0.21;USD;0;Bank Holiday (All Day)
2013.01.01 00:00:00;13.51;13.3;0.21;NZD;0;Bank Holiday (All Day)
2013.01.10 00:00:00;13.77;14.14;-0.37;JPY;1;Leading Indicators
2013.01.11 00:00:00;14.13;14.14;-0.01;JPY;1;Economy Watchers Sentiment
2013.01.16 00:00:00;14.3;14.73;-0.43;JPY;1;Consumer Confidence
2013.01.23 00:00:00;17.26;17.5;-0.24;JPY;1;BOJ Monthly Report
2013.01.23 00:00:00;17.26;17.5;-0.24;All;2;WEF Annual Meetings (Day 1)
2013.01.31 00:00:00;19.7;20.41;-0.71;JPY;1;Housing Starts y/y
2013.02.07 00:00:00;21.11;22.15;-1.04;JPY;1;Leading Indicators
2013.02.08 00:00:00;22.11;22.66;-0.55;JPY;1;Economy Watchers Sentiment
2013.02.12 00:00:00;24.39;25.17;-0.78;JPY;1;Consumer Confidence
2013.02.15 00:00:00;27.25;27.1;0.15;JPY;1;BOJ Monthly Report
2013.02.15 00:00:00;27.25;27.1;0.15;All;3;G20 Meetings (Day 1)
2013.02.25 00:00:00;29.89;30.4;-0.51;EUR;3;Italian Parliamentary Election (Day 2)
2013.02.28 00:00:00;31.26;33.38;-2.12;JPY;1;Housing Starts y/y
2013.03.07 00:00:00;41.02;42.0;-0.98;JPY;1;Leading Indicators
2013.03.08 00:00:00;42.0;44.18;-2.18;JPY;1;BOJ Monthly Report
2013.03.08 00:00:00;42.0;44.18;-2.18;JPY;1;Economy Watchers Sentiment
2013.04.01 00:00:00;93.25;104.0;-10.75;CHF;0;Bank Holiday (All Day)
2013.04.01 00:00:00;93.25;104.0;-10.75;EUR;0;German Bank Holiday (All Day)
2013.04.01 00:00:00;93.25;104.0;-10.75;EUR;0;French Bank Holiday (All Day)
2013.04.01 00:00:00;93.25;104.0;-10.75;EUR;0;Italian Bank Holiday (All Day)
2013.04.01 00:00:00;93.25;104.0;-10.75;GBP;0;Bank Holiday (All Day)
2013.04.25 00:00:00;154.9;141.71;13.19;EUR;0;Italian Bank Holiday (All Day)
