time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;0.72162;0.72193;-3.1;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;0.72091;0.72116;-2.5;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;0.72117;0.72108;0.9;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;0.72107;0.7205;5.7;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;0.72051;0.72031;2.0;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;0.72082;0.72111;-2.9;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;0.72549;0.72534;1.5;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;0.72505;0.72513;-0.8;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;0.72486;0.72557;-7.1;NZD;1;GDT Price Index
2019.01.02 16:55:00;0.72486;0.72557;-7.1;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;0.72465;0.72489;-2.4;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;0.72479;0.72494;-1.5;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;0.72406;0.72434;-2.8;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;0.72435;0.72447;-1.2;EUR;1;Private Loans y/y
2019.01.03 11:30:00;0.7249;0.72438;5.2;GBP;1;Construction PMI
2019.01.03 11:55:00;0.7246;0.72434;2.6;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;0.72718;0.72775;-5.7;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;0.7287;0.73032;-16.2;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;0.73017;0.72972;4.5;USD;1;Unemployment Claims
2019.01.03 17:00:00;0.73128;0.72776;35.2;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;0.73128;0.72776;35.2;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;0.73128;0.72776;35.2;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;0.73128;0.72776;35.2;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;0.73239;0.73213;2.6;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;0.73188;0.73197;-0.9;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;0.73136;0.73137;-0.1;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;0.73225;0.73225;0.0;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;0.73314;0.73341;-2.7;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;0.73312;0.733;1.2;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;0.7334;0.73372;-3.2;EUR;1;Italian Services PMI
2019.01.04 10:50:00;0.73371;0.73375;-0.4;EUR;1;French Final Services PMI
2019.01.04 10:55:00;0.73377;0.73386;-0.9;EUR;1;German Final Services PMI
2019.01.04 10:55:00;0.73377;0.73386;-0.9;EUR;1;German Unemployment Change
2019.01.04 11:00:00;0.73385;0.73378;0.7;EUR;1;Final Services PMI
2019.01.04 11:30:00;0.73365;0.73317;4.8;GBP;2;Final Services PMI
2019.01.04 11:30:00;0.73365;0.73317;4.8;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;0.73365;0.73317;4.8;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;0.73365;0.73317;4.8;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;0.73405;0.73449;-4.4;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;0.73405;0.73449;-4.4;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;0.73405;0.73449;-4.4;EUR;1;PPI m/m
2019.01.04 12:00:00;0.73405;0.73449;-4.4;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;0.73428;0.73431;-0.3;CAD;3;Employment Change
2019.01.04 15:30:00;0.73428;0.73431;-0.3;CAD;3;Unemployment Rate
2019.01.04 15:30:00;0.73428;0.73431;-0.3;CAD;2;RMPI m/m
2019.01.04 15:30:00;0.73428;0.73431;-0.3;CAD;1;IPPI m/m
2019.01.04 15:30:00;0.73428;0.73431;-0.3;USD;3;Average Hourly Earnings m/m
2019.01.04 15:30:00;0.73428;0.73431;-0.3;USD;3;Non-Farm Employment Change
2019.01.04 15:30:00;0.73428;0.73431;-0.3;USD;3;Unemployment Rate
2019.01.04 16:45:00;0.73659;0.73678;-1.9;USD;1;Final Services PMI
2019.01.04 17:15:00;0.73677;0.7366;1.7;USD;3;Fed Chair Powell Speaks
2019.01.04 17:30:00;0.73732;0.73667;6.5;USD;1;Natural Gas Storage
2019.01.04 18:00:00;0.73616;0.73679;-6.3;USD;1;Crude Oil Inventories
2019.01.07 01:50:00;0.73725;0.7373;-0.5;JPY;1;Monetary Base y/y
2019.01.07 09:00:00;0.73687;0.73658;2.9;EUR;1;German Factory Orders m/m
