time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;80.279;80.217;6.2;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;79.957;80.043;-8.6;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;80.044;80.076;-3.2;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;80.075;79.995;8.0;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;79.996;79.923;7.3;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;79.891;79.904;-1.3;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;80.183;80.149;3.4;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;80.143;80.186;-4.3;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;80.165;80.251;-8.6;NZD;1;GDT Price Index
2019.01.02 16:55:00;80.165;80.251;-8.6;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;78.981;78.97;1.1;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;79.183;79.278;-9.5;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;79.053;79.16;-10.7;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;79.16;79.145;1.5;EUR;1;Private Loans y/y
2019.01.03 11:30:00;79.182;79.109;7.3;GBP;1;Construction PMI
2019.01.03 11:55:00;79.12;79.056;6.4;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;79.151;79.198;-4.7;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;79.378;79.676;-29.8;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;79.668;79.601;6.7;USD;1;Unemployment Claims
2019.01.03 17:00:00;79.685;79.148;53.7;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;79.685;79.148;53.7;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;79.685;79.148;53.7;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;79.685;79.148;53.7;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;80.003;79.871;13.2;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;79.863;79.944;-8.1;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;79.926;79.978;-5.2;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;80.279;80.286;-0.7;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;80.175;80.191;-1.6;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;80.239;80.224;1.5;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;80.324;80.365;-4.1;EUR;1;Italian Services PMI
2019.01.04 10:50:00;80.363;80.375;-1.2;EUR;1;French Final Services PMI
2019.01.04 10:55:00;80.376;80.41;-3.4;EUR;1;German Final Services PMI
2019.01.04 10:55:00;80.376;80.41;-3.4;EUR;1;German Unemployment Change
2019.01.04 11:00:00;80.407;80.354;5.3;EUR;1;Final Services PMI
2019.01.04 11:30:00;80.374;80.313;6.1;GBP;2;Final Services PMI
2019.01.04 11:30:00;80.374;80.313;6.1;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;80.374;80.313;6.1;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;80.374;80.313;6.1;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;80.344;80.31;3.4;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;80.344;80.31;3.4;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;80.344;80.31;3.4;EUR;1;PPI m/m
2019.01.04 12:00:00;80.344;80.31;3.4;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;80.437;80.394;4.3;CAD;3;Employment Change
2019.01.04 15:30:00;80.437;80.394;4.3;CAD;3;Unemployment Rate
2019.01.04 15:30:00;80.437;80.394;4.3;CAD;2;RMPI m/m
2019.01.04 15:30:00;80.437;80.394;4.3;CAD;1;IPPI m/m
2019.01.04 15:30:00;80.437;80.394;4.3;USD;3;Average Hourly Earnings m/m
2019.01.04 15:30:00;80.437;80.394;4.3;USD;3;Non-Farm Employment Change
2019.01.04 15:30:00;80.437;80.394;4.3;USD;3;Unemployment Rate
2019.01.04 16:45:00;80.755;80.733;2.2;USD;1;Final Services PMI
2019.01.04 17:15:00;80.606;80.55;5.6;USD;3;Fed Chair Powell Speaks
