time;open;close;diff openclose;currency;impact;news
2007.01.03 03:00:00;97.9;97.9;0.0;EUR;1;Spanish Unemployment Change
2007.01.03 03:25:00;97.89;97.9;-10.0;CHF;2;Manufacturing PMI
2007.01.03 03:55:00;97.86;97.87;-10.0;EUR;2;German Unemployment Change
2007.01.03 04:25:00;97.88;97.89;-10.0;GBP;1;Construction PMI
2007.01.03 05:05:00;97.88;97.89;-10.0;EUR;1;German 10-y Bond Auction
2007.01.03 08:15:00;97.73;97.69;40.0;USD;2;ADP Non-Farm Employment Change
2007.01.03 10:00:00;97.82;97.84;-20.0;USD;3;ISM Manufacturing PMI
2007.01.03 10:00:00;97.82;97.84;-20.0;USD;1;Construction Spending m/m
2007.01.03 10:00:00;97.82;97.84;-20.0;USD;1;ISM Manufacturing Prices
2007.01.03 10:00:00;97.82;97.84;-20.0;USD;1;Total Vehicle Sales (All Day)
2007.01.03 14:00:00;97.91;97.89;20.0;USD;3;FOMC Meeting Minutes
2007.01.03 16:45:00;97.51;97.51;0.0;NZD;3;Trade Balance
2007.01.03 17:25:00;97.34;97.34;0.0;AUD;1;AIG Services Index
2007.01.04 01:45:00;97.34;97.35;-10.0;CHF;3;CPI m/m
2007.01.04 03:15:00;97.45;97.42;30.0;EUR;1;Spanish Services PMI
2007.01.04 03:45:00;97.41;97.43;-20.0;EUR;1;Italian Services PMI
2007.01.04 04:00:00;97.43;97.43;0.0;EUR;1;Final Services PMI
2007.01.04 04:25:00;97.43;97.42;10.0;GBP;2;Final Services PMI
2007.01.04 04:25:00;97.43;97.42;10.0;GBP;1;Mortgage Approvals
2007.01.04 04:25:00;97.43;97.42;10.0;GBP;1;Net Lending to Individuals m/m
2007.01.04 04:55:00;97.4;97.41;-10.0;EUR;1;French 10-y Bond Auction
2007.01.04 05:00:00;97.41;97.4;10.0;EUR;1;CPI Flash Estimate y/y
2007.01.04 05:00:00;97.41;97.4;10.0;EUR;1;Italian Prelim CPI m/m
2007.01.04 05:25:00;97.42;97.4;20.0;GBP;2;GfK Consumer Confidence
2007.01.04 07:25:00;97.34;97.39;-50.0;GBP;1;MPC Member Blanchflower Speaks
2007.01.04 07:25:00;97.34;97.39;-50.0;USD;1;Challenger Job Cuts y/y
2007.01.04 08:25:00;97.19;97.2;-10.0;CAD;2;RMPI m/m
2007.01.04 08:25:00;97.19;97.2;-10.0;CAD;1;IPPI m/m
2007.01.04 08:25:00;97.19;97.2;-10.0;USD;1;Unemployment Claims
2007.01.04 10:00:00;96.96;96.96;0.0;USD;3;ISM Services PMI
2007.01.04 10:00:00;96.96;96.96;0.0;USD;3;Pending Home Sales m/m
2007.01.04 10:00:00;96.96;96.96;0.0;USD;2;Factory Orders m/m
2007.01.04 10:25:00;96.96;96.96;0.0;USD;1;Crude Oil Inventories
2007.01.04 18:45:00;96.77;96.76;10.0;JPY;1;Monetary Base y/y
2007.01.05 03:00:00;96.17;96.13;40.0;CHF;1;Foreign Currency Reserves
2007.01.05 03:00:00;96.17;96.13;40.0;GBP;3;Halifax HPI m/m
2007.01.05 04:00:00;96.07;96.07;0.0;EUR;1;Retail PMI
2007.01.05 05:00:00;95.99;96.0;-10.0;EUR;1;Consumer Confidence
2007.01.05 05:00:00;95.99;96.0;-10.0;EUR;1;PPI m/m
2007.01.05 05:00:00;95.99;96.0;-10.0;EUR;1;Retail Sales m/m
2007.01.05 05:00:00;95.99;96.0;-10.0;EUR;1;Unemployment Rate
2007.01.05 07:00:00;96.15;96.13;20.0;CAD;3;Employment Change
2007.01.05 07:00:00;96.15;96.13;20.0;CAD;3;Unemployment Rate
2007.01.05 08:25:00;96.16;96.14;20.0;USD;3;Non-Farm Employment Change
2007.01.05 08:25:00;96.16;96.14;20.0;USD;3;Unemployment Rate
2007.01.05 08:25:00;96.16;96.14;20.0;USD;2;Average Hourly Earnings m/m
2007.01.05 10:00:00;96.17;96.22;-50.0;CAD;3;Ivey PMI
2007.01.05 10:25:00;96.22;96.22;0.0;USD;1;Natural Gas Storage
2007.01.05 13:45:00;95.92;95.89;30.0;USD;2;Fed Chairman Bernanke Speaks
2007.01.08 01:45:00;95.7;95.7;0.0;CHF;1;Unemployment Rate
2007.01.08 02:00:00;95.7;95.71;-10.0;EUR;2;German Retail Sales m/m
2007.01.08 06:00:00;95.77;95.79;-20.0;EUR;2;German Factory Orders m/m
2007.01.08 10:25:00;95.7;95.71;-10.0;CAD;3;BOC Business Outlook Survey
2007.01.08 12:45:00;95.98;95.97;10.0;USD;2;FOMC Member Kohn Speaks
2007.01.08 15:00:00;95.77;95.8;-30.0;USD;1;Consumer Credit m/m
2007.01.08 19:00:00;96.03;95.99;40.0;GBP;2;BRC Retail Sales Monitor y/y
2007.01.08 19:25:00;96.0;96.01;-10.0;AUD;3;Retail Sales m/m
2007.01.09 02:00:00;96.21;96.18;30.0;EUR;1;German Trade Balance
2007.01.09 06:00:00;96.11;96.08;30.0;EUR;2;German Industrial Production m/m
2007.01.09 07:25:00;96.09;96.09;0.0;USD;1;NFIB Small Business Index
2007.01.09 08:15:00;96.09;96.15;-60.0;CAD;3;Housing Starts
2007.01.09 10:00:00;96.29;96.3;-10.0;USD;1;IBD/TIPP Economic Optimism
2007.01.09 18:25:00;96.08;96.08;0.0;AUD;1;Westpac Consumer Sentiment
2007.01.09 19:00:00;96.11;96.12;-10.0;GBP;1;Nationwide Consumer Confidence
2007.01.09 19:25:00;96.08;96.1;-20.0;AUD;2;Trade Balance
2007.01.09 22:45:00;96.09;96.1;-10.0;JPY;1;10-y Bond Auction
2007.01.10 02:00:00;96.01;96.01;0.0;EUR;1;German WPI m/m
2007.01.10 02:45:00;95.95;95.95;0.0;EUR;2;French Industrial Production m/m
2007.01.10 02:45:00;95.95;95.95;0.0;EUR;1;French Gov Budget Balance
2007.01.10 02:45:00;95.95;95.95;0.0;EUR;1;French Trade Balance
2007.01.10 04:25:00;95.92;95.94;-20.0;GBP;2;Goods Trade Balance
2007.01.10 05:25:00;95.88;95.9;-20.0;GBP;1;BRC Shop Price Index y/y
2007.01.10 08:25:00;96.0;95.98;20.0;CAD;2;Building Permits m/m
2007.01.10 08:25:00;96.0;95.98;20.0;CAD;2;Trade Balance
2007.01.10 08:25:00;96.0;95.98;20.0;CAD;1;NHPI m/m
2007.01.10 08:25:00;96.0;95.98;20.0;USD;3;Trade Balance
2007.01.10 10:00:00;95.99;95.98;10.0;USD;1;Final Wholesale Inventories m/m
2007.01.10 10:00:00;95.99;95.98;10.0;USD;1;JOLTS Job Openings
2007.01.10 10:25:00;95.95;95.94;10.0;USD;1;Crude Oil Inventories
2007.01.10 16:25:00;96.04;96.06;-20.0;AUD;1;MI Inflation Expectations
2007.01.10 19:25:00;95.99;95.99;0.0;AUD;3;Employment Change
2007.01.10 19:25:00;95.99;95.99;0.0;AUD;2;Unemployment Rate
2007.01.10 20:35:00;95.97;95.98;-10.0;CNY;3;USD-Denominated Trade Balance
2007.01.11 00:00:00;95.9;95.9;0.0;JPY;1;Leading Indicators
2007.01.11 01:00:00;96.06;96.04;20.0;JPY;1;Prelim Machine Tool Orders y/y
2007.01.11 04:25:00;96.2;96.19;10.0;GBP;3;Manufacturing Production m/m
2007.01.11 04:25:00;96.2;96.19;10.0;GBP;1;Industrial Production m/m
2007.01.11 05:00:00;96.16;96.18;-20.0;EUR;1;Final GDP q/q
2007.01.11 07:00:00;96.31;96.28;30.0;GBP;3;MPC Rate Statement
2007.01.11 07:00:00;96.31;96.28;30.0;GBP;3;Official Bank Rate
2007.01.11 07:45:00;96.24;96.24;0.0;EUR;2;Main Refinancing Rate
2007.01.11 08:00:00;96.31;96.32;-10.0;USD;1;FOMC Member Geithner Speaks
2007.01.11 08:25:00;96.39;96.43;-40.0;EUR;3;ECB Press Conference
2007.01.11 08:25:00;96.39;96.43;-40.0;USD;1;Unemployment Claims
2007.01.11 10:25:00;96.58;96.58;0.0;GBP;1;CB Leading Index m/m
2007.01.11 10:25:00;96.58;96.58;0.0;USD;1;Natural Gas Storage
2007.01.11 16:45:00;96.56;96.49;70.0;NZD;2;Building Consents m/m
2007.01.11 18:45:00;96.45;96.42;30.0;JPY;1;Bank Lending y/y
2007.01.11 18:45:00;96.45;96.42;30.0;JPY;1;M2 Money Stock y/y
2007.01.11 19:00:00;96.38;96.31;70.0;GBP;1;NIESR GDP Estimate
2007.01.12 00:00:00;96.3;96.28;20.0;JPY;1;Economy Watchers Sentiment
2007.01.12 02:45:00;96.6;96.57;30.0;EUR;1;French Final CPI m/m
2007.01.12 08:25:00;96.34;96.33;10.0;USD;3;Core Retail Sales m/m
2007.01.12 08:25:00;96.34;96.33;10.0;USD;3;Retail Sales m/m
2007.01.12 08:25:00;96.34;96.33;10.0;USD;2;Import Prices m/m
2007.01.12 10:00:00;96.37;96.4;-30.0;USD;2;Business Inventories m/m
2007.01.12 14:00:00;96.41;96.4;10.0;USD;2;Federal Budget Balance
2007.01.15 04:00:00;96.44;96.43;10.0;EUR;1;Italian Industrial Production m/m
2007.01.15 04:15:00;96.45;96.44;10.0;CNY;1;Foreign Direct Investment ytd/y
2007.01.15 04:25:00;96.44;96.45;-10.0;EUR;1;Sentix Investor Confidence
2007.01.15 04:25:00;96.44;96.45;-10.0;GBP;3;PPI Input m/m
2007.01.15 04:25:00;96.44;96.45;-10.0;GBP;1;ONS HPI y/y
2007.01.15 04:25:00;96.44;96.45;-10.0;GBP;1;PPI Output m/m
2007.01.15 05:00:00;96.44;96.45;-10.0;EUR;2;Industrial Production m/m
2007.01.15 05:00:00;96.44;96.45;-10.0;USD;0;Bank Holiday (All Day)
2007.01.15 08:25:00;96.48;96.51;-30.0;CAD;1;New Motor Vehicle Sales m/m
2007.01.15 16:00:00;96.58;96.54;40.0;NZD;3;NZIER Business Confidence
2007.01.15 18:45:00;96.42;96.44;-20.0;JPY;1;PPI y/y
2007.01.15 19:00:00;96.42;96.42;0.0;GBP;2;RICS House Price Balance
2007.01.15 23:25:00;96.44;96.43;10.0;JPY;1;Revised Industrial Production m/m
2007.01.16 04:25:00;96.5;96.51;-10.0;GBP;3;CPI y/y
2007.01.16 04:25:00;96.5;96.51;-10.0;GBP;2;Core CPI y/y
2007.01.16 04:25:00;96.5;96.51;-10.0;GBP;1;RPI y/y
2007.01.16 05:00:00;96.5;96.49;10.0;EUR;2;German ZEW Economic Sentiment
2007.01.16 05:00:00;96.5;96.49;10.0;EUR;1;ZEW Economic Sentiment
2007.01.16 07:00:00;96.42;96.41;10.0;GBP;2;MPC Member Sentance Speaks
2007.01.16 08:25:00;96.65;96.64;10.0;USD;2;Empire State Manufacturing Index
2007.01.16 09:00:00;96.59;96.65;-60.0;CAD;3;BOC Rate Statement
2007.01.16 09:00:00;96.59;96.65;-60.0;CAD;3;Overnight Rate
2007.01.16 16:45:00;96.69;96.64;50.0;NZD;3;CPI q/q
2007.01.16 16:45:00;96.69;96.64;50.0;NZD;1;FPI m/m
2007.01.16 18:25:00;96.65;96.64;10.0;AUD;1;MI Leading Index m/m
2007.01.16 18:45:00;96.65;96.63;20.0;JPY;1;Current Account
2007.01.17 00:00:00;96.73;96.74;-10.0;JPY;1;Consumer Confidence
2007.01.17 02:00:00;96.78;96.76;20.0;EUR;1;German Final CPI m/m
2007.01.17 04:25:00;96.74;96.71;30.0;GBP;3;Claimant Count Change
2007.01.17 04:25:00;96.74;96.71;30.0;GBP;2;Average Earnings Index 3m/y
2007.01.17 04:25:00;96.74;96.71;30.0;GBP;1;Unemployment Rate
2007.01.17 05:00:00;96.72;96.74;-20.0;EUR;1;Final CPI y/y
2007.01.17 05:00:00;96.72;96.74;-20.0;EUR;1;Final Core CPI y/y
2007.01.17 05:00:00;96.72;96.74;-20.0;EUR;1;Trade Balance
