time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.63344;1.63204;14.0;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.6315;1.63009;14.1;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.63008;1.63043;-3.5;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.63042;1.63113;-7.1;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.63109;1.63075;3.4;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.62947;1.62923;2.4;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.6267;1.6271499999999999;-4.5;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.627;1.6265100000000001;4.9;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.62625;1.62474;15.1;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.62625;1.62474;15.1;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.63313;1.6314899999999999;16.4;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.63171;1.6312;5.1;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.63349;1.6339299999999999;-4.4;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.6339299999999999;1.63396;-0.3;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.63305;1.63313;-0.8;GBP;1;Construction PMI
2019.01.03 11:55:00;1.63395;1.63373;2.2;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.63018;1.63016;0.2;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.6271900000000001;1.62618;10.1;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.62778;1.62826;-4.8;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.6261100000000002;1.6313;-51.9;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.6261100000000002;1.6313;-51.9;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;1.6261100000000002;1.6313;-51.9;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;1.6261100000000002;1.6313;-51.9;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;1.62568;1.62621;-5.3;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;1.62887;1.62793;9.4;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;1.6268799999999999;1.6255899999999999;12.9;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;1.62291;1.62271;2.0;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;1.62351;1.62286;6.5;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;1.62367;1.62338;2.9;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;1.6232799999999998;1.6239;-6.2;EUR;1;Italian Services PMI
2019.01.04 10:50:00;1.62395;1.62365;3.0;EUR;1;French Final Services PMI
2019.01.04 10:55:00;1.62363;1.62273;9.0;EUR;1;German Final Services PMI
2019.01.04 10:55:00;1.62363;1.62273;9.0;EUR;1;German Unemployment Change
2019.01.04 11:00:00;1.62276;1.62171;10.5;EUR;1;Final Services PMI
2019.01.04 11:30:00;1.6202800000000002;1.6211;-8.2;GBP;2;Final Services PMI
2019.01.04 11:30:00;1.6202800000000002;1.6211;-8.2;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;1.6202800000000002;1.6211;-8.2;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;1.6202800000000002;1.6211;-8.2;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;1.6179299999999999;1.61774;1.9;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;1.6179299999999999;1.61774;1.9;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;1.6179299999999999;1.61774;1.9;EUR;1;PPI m/m
2019.01.04 12:00:00;1.6179299999999999;1.61774;1.9;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;1.6179999999999999;1.61661;13.9;CAD;3;Employment Change
2019.01.04 15:30:00;1.6179999999999999;1.61661;13.9;CAD;3;Unemployment Rate
2019.01.04 15:30:00;1.6179999999999999;1.61661;13.9;CAD;2;RMPI m/m
2019.01.04 15:30:00;1.6179999999999999;1.61661;13.9;CAD;1;IPPI m/m
2019.01.04 15:30:00;1.6179999999999999;1.61661;13.9;USD;3;Average Hourly Earnings m/m
2019.01.04 15:30:00;1.6179999999999999;1.61661;13.9;USD;3;Non-Farm Employment Change
2019.01.04 15:30:00;1.6179999999999999;1.61661;13.9;USD;3;Unemployment Rate
2019.01.04 16:45:00;1.61229;1.61163;6.6;USD;1;Final Services PMI
2019.01.04 17:15:00;1.61195;1.61254;-5.9;USD;3;Fed Chair Powell Speaks
2019.01.04 17:30:00;1.6089099999999998;1.60759;13.2;USD;1;Natural Gas Storage
