time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.55891;1.55808;8.3;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.55864;1.5579800000000001;6.6;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.558;1.55823;-2.3;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.55822;1.55918;-9.6;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.5591599999999999;1.55948;-3.2;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.55822;1.5582799999999999;-0.6;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.54908;1.54979;-7.1;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.5500099999999999;1.55003;-0.2;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.54979;1.54771;20.8;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.54979;1.54771;20.8;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.5481;1.5476299999999998;4.7;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.54886;1.5484;4.6;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.54943;1.54888;5.5;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.54888;1.5489600000000001;-0.8;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.54891;1.54907;-1.6;GBP;1;Construction PMI
2019.01.03 11:55:00;1.5485799999999998;1.54902;-4.4;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.54321;1.54188;13.3;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.5387;1.53648;22.2;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.53666;1.5376699999999999;-10.1;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.53594;1.54311;-71.7;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.53594;1.54311;-71.7;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;1.53594;1.54311;-71.7;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;1.53594;1.54311;-71.7;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;1.5352700000000001;1.5357699999999999;-5.0;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;1.5369199999999998;1.53677;1.5;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;1.5373999999999999;1.53743;-0.3;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;1.5350899999999998;1.5351;-0.1;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;1.5343200000000001;1.53389;4.3;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;1.53501;1.53471;3.0;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;1.53363;1.53332;3.1;EUR;1;Italian Services PMI
2019.01.04 10:50:00;1.53335;1.53294;4.1;EUR;1;French Final Services PMI
2019.01.04 10:55:00;1.5329199999999998;1.53261;3.1;EUR;1;German Final Services PMI
2019.01.04 10:55:00;1.5329199999999998;1.53261;3.1;EUR;1;German Unemployment Change
2019.01.04 11:00:00;1.5327;1.53278;-0.8;EUR;1;Final Services PMI
2019.01.04 11:30:00;1.53334;1.53383;-4.9;GBP;2;Final Services PMI
2019.01.04 11:30:00;1.53334;1.53383;-4.9;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;1.53334;1.53383;-4.9;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;1.53334;1.53383;-4.9;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;1.53307;1.5324;6.7;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;1.53307;1.5324;6.7;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;1.53307;1.5324;6.7;EUR;1;PPI m/m
2019.01.04 12:00:00;1.53307;1.5324;6.7;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;1.5322900000000002;1.53208;2.1;CAD;3;Employment Change
2019.01.04 15:30:00;1.5322900000000002;1.53208;2.1;CAD;3;Unemployment Rate
2019.01.04 15:30:00;1.5322900000000002;1.53208;2.1;CAD;2;RMPI m/m
2019.01.04 15:30:00;1.5322900000000002;1.53208;2.1;CAD;1;IPPI m/m
2019.01.04 15:30:00;1.5322900000000002;1.53208;2.1;USD;3;Average Hourly Earnings m/m
