time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;0.89946;0.8998;-3.4;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;0.90086;0.90084;0.2;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;0.90084;0.90098;-1.4;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;0.90099;0.90061;3.8;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;0.90057;0.89984;7.3;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;0.9006;0.89964;9.6;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;0.90214;0.90204;1.0;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;0.90184;0.90194;-1.0;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;0.90165;0.90116;4.9;NZD;1;GDT Price Index
2019.01.02 16:55:00;0.90165;0.90116;4.9;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;0.90575;0.90591;-1.6;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;0.90607;0.90567;4.0;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;0.90547;0.90541;0.6;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;0.90541;0.9054;0.1;EUR;1;Private Loans y/y
2019.01.03 11:30:00;0.90411;0.9046;-4.9;GBP;1;Construction PMI
2019.01.03 11:55:00;0.90455;0.90417;3.8;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;0.90374;0.90333;4.1;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;0.90282;0.90282;0.0;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;0.90167;0.90221;-5.4;USD;1;Unemployment Claims
2019.01.03 17:00:00;0.90345;0.90491;-14.6;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;0.90345;0.90491;-14.6;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;0.90345;0.90491;-14.6;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;0.90345;0.90491;-14.6;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;0.90192;0.9021;-1.8;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;0.90253;0.90262;-0.9;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;0.9022;0.90223;-0.3;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;0.90153;0.90157;-0.4;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;0.90215;0.90167;4.8;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;0.90149;0.90125;2.4;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;0.90061;0.90076;-1.5;EUR;1;Italian Services PMI
2019.01.04 10:50:00;0.90077;0.90059;1.8;EUR;1;French Final Services PMI
2019.01.04 10:55:00;0.90059;0.90044;1.5;EUR;1;German Final Services PMI
2019.01.04 10:55:00;0.90059;0.90044;1.5;EUR;1;German Unemployment Change
2019.01.04 11:00:00;0.90044;0.90032;1.2;EUR;1;Final Services PMI
2019.01.04 11:30:00;0.90069;0.9005;1.9;GBP;2;Final Services PMI
2019.01.04 11:30:00;0.90069;0.9005;1.9;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;0.90069;0.9005;1.9;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;0.90069;0.9005;1.9;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;0.89978;0.89962;1.6;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;0.89978;0.89962;1.6;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;0.89978;0.89962;1.6;EUR;1;PPI m/m
2019.01.04 12:00:00;0.89978;0.89962;1.6;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;0.89987;0.89978;0.9;CAD;3;Employment Change
2019.01.04 15:30:00;0.89987;0.89978;0.9;CAD;3;Unemployment Rate
2019.01.04 15:30:00;0.89987;0.89978;0.9;CAD;2;RMPI m/m
2019.01.04 15:30:00;0.89987;0.89978;0.9;CAD;1;IPPI m/m
2019.01.04 15:30:00;0.89987;0.89978;0.9;USD;3;Average Hourly Earnings m/m
2019.01.04 15:30:00;0.89987;0.89978;0.9;USD;3;Non-Farm Employment Change
2019.01.04 15:30:00;0.89987;0.89978;0.9;USD;3;Unemployment Rate
2019.01.04 16:45:00;0.89918;0.89889;2.9;USD;1;Final Services PMI
2019.01.04 17:15:00;0.89908;0.89918;-1.0;USD;3;Fed Chair Powell Speaks
2019.01.04 17:30:00;0.89816;0.89855;-3.9;USD;1;Natural Gas Storage
2019.01.04 18:00:00;0.89679;0.89717;-3.8;USD;1;Crude Oil Inventories
2019.01.07 01:50:00;0.89564;0.8957;-0.6;JPY;1;Monetary Base y/y
2019.01.07 09:00:00;0.89558;0.8958;-2.2;EUR;1;German Factory Orders m/m
2019.01.07 09:00:00;0.89558;0.8958;-2.2;EUR;1;German Retail Sales m/m
2019.01.07 11:30:00;0.89869;0.89806;6.3;EUR;1;Sentix Investor Confidence
2019.01.07 12:00:00;0.89728;0.89782;-5.4;EUR;1;Retail Sales m/m
2019.01.07 17:00:00;0.89754;0.89681;7.3;CAD;2;Ivey PMI
2019.01.07 17:00:00;0.89754;0.89681;7.3;USD;3;ISM Services PMI
2019.01.08 02:30:00;0.89786;0.8979;-0.4;AUD;2;Trade Balance
2019.01.08 02:30:00;0.89786;0.8979;-0.4;AUD;1;ANZ Job Advertisements m/m
2019.01.08 05:35:00;0.89616;0.89616;0.0;JPY;1;10-y Bond Auction
2019.01.08 07:05:00;0.89644;0.89649;-0.5;JPY;1;Consumer Confidence
2019.01.08 08:45:00;0.89631;0.89641;-1.0;CHF;1;Unemployment Rate
2019.01.08 09:00:00;0.89633;0.89592;4.1;EUR;1;German Industrial Production m/m
2019.01.08 09:30:00;0.89585;0.89579;0.6;CHF;1;Retail Sales y/y
2019.01.08 09:45:00;0.89593;0.89604;-1.1;EUR;1;French Trade Balance
2019.01.08 10:30:00;0.89641;0.89629;1.2;GBP;1;Halifax HPI m/m
2019.01.08 12:20:00;0.89712;0.89701;1.1;USD;1;NFIB Small Business Index
2019.01.08 12:35:00;0.89726;0.89682;4.4;GBP;1;10-y Bond Auction
2019.01.08 15:30:00;0.89783;0.8978;0.3;CAD;3;Trade Balance
2019.01.08 17:00:00;0.89876;0.89836;4.0;USD;1;JOLTS Job Openings
2019.01.08 22:00:00;0.89961;0.89964;-0.3;USD;1;Consumer Credit m/m
2019.01.08 23:30:00;0.8995;0.89957;-0.7;AUD;1;AIG Services Index
2019.01.09 02:00:00;0.89936;0.89925;1.1;JPY;2;Average Cash Earnings y/y
2019.01.09 02:00:00;0.89936;0.89925;1.1;NZD;1;ANZ Commodity Prices m/m
2019.01.09 02:30:00;0.89957;0.89967;-1.0;AUD;2;Building Approvals m/m
2019.01.09 04:00:00;0.89946;0.89951;-0.5;USD;3;President Trump Speaks
2019.01.09 09:00:00;0.89974;0.89975;-0.1;EUR;1;German Trade Balance
2019.01.09 09:30:00;0.89978;0.89961;1.7;CHF;1;CPI m/m
2019.01.09 10:00:00;0.90045;0.89992;5.3;CHF;1;Foreign Currency Reserves
2019.01.09 11:00:00;0.89777;0.89775;0.2;EUR;1;Italian Monthly Unemployment Rate
2019.01.09 12:00:00;0.8986;0.89906;-4.6;EUR;1;Unemployment Rate
2019.01.09 12:30:00;0.90007;0.90038;-3.1;EUR;1;German 10-y Bond Auction
2019.01.09 15:10:00;0.89874;0.89912;-3.8;CAD;1;Housing Starts
2019.01.09 16:00:00;0.89989;0.90016;-2.7;USD;2;FOMC Member Evans Speaks
2019.01.09 17:00:00;0.90157;0.90188;-3.1;CAD;3;BOC Monetary Policy Report
2019.01.09 17:00:00;0.90157;0.90188;-3.1;CAD;3;BOC Rate Statement
2019.01.09 17:00:00;0.90157;0.90188;-3.1;CAD;3;Overnight Rate
2019.01.09 17:30:00;0.90156;0.90263;-10.7;GBP;3;BOE Gov Carney Speaks
2019.01.09 17:30:00;0.90156;0.90263;-10.7;USD;1;Crude Oil Inventories
2019.01.09 18:15:00;0.90382;0.90355;2.7;CAD;3;BOC Press Conference
2019.01.09 18:30:00;0.90337;0.90356;-1.9;USD;2;FOMC Member Rosengren Speaks
2019.01.09 20:00:00;0.90267;0.90267;0.0;USD;1;10-y Bond Auction
2019.01.09 21:00:00;0.90212;0.90237;-2.5;USD;3;FOMC Meeting Minutes
2019.01.10 02:00:00;0.90274;0.90284;-1.0;GBP;1;BRC Retail Sales Monitor y/y
2019.01.10 03:30:00;0.90303;0.90313;-1.0;CNY;1;CPI y/y
2019.01.10 03:30:00;0.90303;0.90313;-1.0;CNY;1;PPI y/y
2019.01.10 05:35:00;0.90422;0.90421;0.1;JPY;1;30-y Bond Auction
2019.01.10 07:00:00;0.90417;0.90408;0.9;JPY;1;Leading Indicators
2019.01.10 09:45:00;0.90501;0.90479;2.2;EUR;1;French Industrial Production m/m
2019.01.10 11:05:00;0.90403;0.90376;2.7;EUR;1;Italian Retail Sales m/m
2019.01.10 12:00:00;0.90291;0.90299;-0.8;EUR;1;French 10-y Bond Auction
2019.01.10 12:00:00;0.90291;0.90299;-0.8;GBP;3;Monetary Policy Report Hearings (Tentative)
2019.01.10 14:30:00;0.90523;0.90564;-4.1;EUR;2;ECB Monetary Policy Meeting Accounts
2019.01.10 15:30:00;0.90358;0.90374;-1.6;CAD;1;Building Permits m/m
2019.01.10 15:30:00;0.90358;0.90374;-1.6;CAD;1;NHPI m/m
2019.01.10 15:30:00;0.90358;0.90374;-1.6;USD;1;Unemployment Claims
2019.01.10 17:30:00;0.90372;0.90339;3.3;USD;1;Natural Gas Storage
2019.01.10 19:40:00;0.90273;0.9029;-1.7;USD;2;FOMC Member Bullard Speaks
