time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;125.178;125.019;15.9;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;124.649;124.738;-8.9;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;124.74;124.804;-6.4;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;124.804;124.752;5.2;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;124.756;124.669;8.7;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;124.518;124.543;-2.5;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;124.238;124.243;-0.5;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;124.254;124.318;-6.4;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;124.269;124.237;3.2;NZD;1;GDT Price Index
2019.01.02 16:55:00;124.269;124.237;3.2;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;122.282;122.23;5.2;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;122.647;122.759;-11.2;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;122.5;122.617;-11.7;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;122.618;122.6;1.8;EUR;1;Private Loans y/y
2019.01.03 11:30:00;122.651;122.555;9.6;GBP;1;Construction PMI
2019.01.03 11:55:00;122.531;122.469;6.2;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;122.153;122.122;3.1;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;122.153;122.43;-27.7;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;122.429;122.407;2.2;USD;1;Unemployment Claims
2019.01.03 17:00:00;122.384;122.142;24.2;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;122.384;122.142;24.2;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;122.384;122.142;24.2;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;122.384;122.142;24.2;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;122.844;122.673;17.1;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;122.759;122.864;-10.5;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;122.888;122.969;-8.1;CNY;2;Caixin Services PMI
