time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.14621;1.14519;10.2;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.14414;1.14402;1.2;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.14401;1.1443699999999999;-3.6;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.1443699999999999;1.1448;-4.3;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.1448;1.14401;7.9;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.14372;1.14377;-0.5;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.13682;1.13695;-1.3;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.1367;1.13719;-4.9;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.13652;1.13605;4.7;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.13652;1.13605;4.7;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.13696;1.13635;6.1;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.13781;1.13729;5.2;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.13799;1.1379299999999999;0.6;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.13792;1.1376;3.2;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.13789;1.13769;2.0;GBP;1;Construction PMI
2019.01.03 11:55:00;1.13764;1.13757;0.7;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.1348;1.13486;-0.6;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.13472;1.134;7.2;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.13502;1.1354899999999999;-4.7;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.13643;1.1396;-31.7;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.13643;1.1396;-31.7;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;1.13643;1.1396;-31.7;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;1.13643;1.1396;-31.7;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;1.139;1.13906;-0.6;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;1.13969;1.13969;0.0;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;1.14065;1.1406399999999999;0.1;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;1.1393;1.13931;-0.1;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;1.14011;1.13996;1.5;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;1.14143;1.1409;5.3;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;1.1409;1.14123;-3.3;EUR;1;Italian Services PMI
2019.01.04 10:50:00;1.14123;1.14115;0.8;EUR;1;French Final Services PMI
2019.01.04 10:55:00;1.14116;1.14078;3.8;EUR;1;German Final Services PMI
2019.01.04 10:55:00;1.14116;1.14078;3.8;EUR;1;German Unemployment Change
2019.01.04 11:00:00;1.14079;1.14092;-1.3;EUR;1;Final Services PMI
2019.01.04 11:30:00;1.1412499999999999;1.14106;1.9;GBP;2;Final Services PMI
2019.01.04 11:30:00;1.1412499999999999;1.14106;1.9;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;1.1412499999999999;1.14106;1.9;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;1.1412499999999999;1.14106;1.9;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;1.1402700000000001;1.13955;7.2;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;1.1402700000000001;1.13955;7.2;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;1.1402700000000001;1.13955;7.2;EUR;1;PPI m/m
2019.01.04 12:00:00;1.1402700000000001;1.13955;7.2;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;1.14023;1.1385;17.3;CAD;3;Employment Change
2019.01.04 15:30:00;1.14023;1.1385;17.3;CAD;3;Unemployment Rate
2019.01.04 15:30:00;1.14023;1.1385;17.3;CAD;2;RMPI m/m
2019.01.04 15:30:00;1.14023;1.1385;17.3;CAD;1;IPPI m/m
2019.01.04 15:30:00;1.14023;1.1385;17.3;USD;3;Average Hourly Earnings m/m
2019.01.04 15:30:00;1.14023;1.1385;17.3;USD;3;Non-Farm Employment Change
2019.01.04 15:30:00;1.14023;1.1385;17.3;USD;3;Unemployment Rate
2019.01.04 16:45:00;1.13532;1.13485;4.7;USD;1;Final Services PMI
2019.01.04 17:15:00;1.13527;1.13519;0.8;USD;3;Fed Chair Powell Speaks
2019.01.04 17:30:00;1.13918;1.14025;-10.7;USD;1;Natural Gas Storage
2019.01.04 18:00:00;1.14103;1.14067;3.6;USD;1;Crude Oil Inventories
2019.01.07 01:50:00;1.14095;1.14111;-1.6;JPY;1;Monetary Base y/y
2019.01.07 09:00:00;1.14165;1.14176;-1.1;EUR;1;German Factory Orders m/m
2019.01.07 09:00:00;1.14165;1.14176;-1.1;EUR;1;German Retail Sales m/m
