time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.8158400000000001;1.81359;22.5;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.81089;1.8094000000000001;14.9;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.8093599999999999;1.8094299999999999;-0.7;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.80941;1.81098;-15.7;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.811;1.81212;-11.2;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.8077299999999998;1.8108300000000002;-31.0;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.80305;1.80372;-6.7;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.80392;1.8031700000000002;7.5;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.80349;1.80286;6.3;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.80349;1.80286;6.3;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.8029199999999999;1.80076;21.6;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.80072;1.8009300000000001;-2.1;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.80392;1.80453;-6.1;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.80453;1.80456;-0.3;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.8057699999999999;1.80522;5.5;GBP;1;Construction PMI
2019.01.03 11:55:00;1.8062399999999998;1.80674;-5.0;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.80365;1.8044799999999999;-8.3;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.8014999999999999;1.8011599999999999;3.4;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.8051599999999999;1.80464;5.2;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.7994599999999998;1.80255;-30.9;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.7994599999999998;1.80255;-30.9;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;1.7994599999999998;1.80255;-30.9;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;1.7994599999999998;1.80255;-30.9;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;1.80218;1.80248;-3.0;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;1.80458;1.80342;11.6;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;1.80305;1.80167;13.8;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;1.80002;1.79954;4.8;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;1.79945;1.79973;-2.8;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;1.80096;1.8010899999999999;-1.3;EUR;1;Spanish Services PMI
