time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.73307;1.73143;16.4;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.72999;1.7293699999999999;6.2;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.7294100000000001;1.7292999999999998;1.1;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.72926;1.7311299999999998;-18.7;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.73119;1.73295;-17.6;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.72882;1.732;-31.8;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.71699;1.71801;-10.2;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.7186;1.7183899999999999;2.1;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.71872;1.7175;12.2;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.71872;1.7175;12.2;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.70902;1.70823;7.9;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.7093;1.70953;-2.3;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.7110699999999999;1.71061;4.6;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.71061;1.71069;-0.8;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.7127400000000002;1.71232;4.2;GBP;1;Construction PMI
2019.01.03 11:55:00;1.71187;1.71307;-12.0;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.70742;1.7067700000000001;6.5;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.70358;1.70175;18.3;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.7037900000000001;1.7042199999999998;-4.3;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.6993200000000002;1.7051500000000002;-58.3;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.6993200000000002;1.7051500000000002;-58.3;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;1.6993200000000002;1.7051500000000002;-58.3;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;1.6993200000000002;1.7051500000000002;-58.3;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;1.70207;1.70218;-1.1;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;1.70272;1.70241;3.1;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;1.70397;1.70394;0.3;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;1.7025700000000001;1.70245;1.2;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;1.70058;1.7010999999999998;-5.2;EUR;1;French Prelim CPI m/m
