time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.25069;1.2500200000000001;6.7;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.24724;1.24726;-0.2;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.24725;1.24704;2.1;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.24704;1.24735;-3.1;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.24739;1.24834;-9.5;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.2462;1.24903;-28.3;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.24577;1.24624;-4.7;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.24615;1.24614;0.1;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.2459;1.24626;-3.6;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.2459;1.24626;-3.6;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.23852;1.23836;1.6;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.23895;1.23937;-4.2;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.23904;1.23913;-0.9;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.23914;1.23943;-2.9;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.24167;1.24045;12.2;GBP;1;Construction PMI
2019.01.03 11:55:00;1.24053;1.24096;-4.3;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.2417;1.24218;-4.8;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.24177;1.24291;-11.4;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.24425;1.24372;5.3;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.24304;1.24098;20.6;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.24304;1.24098;20.6;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;1.24304;1.24098;20.6;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;1.24304;1.24098;20.6;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;1.24662;1.24632;3.0;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;1.24634;1.24625;0.9;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;1.24624;1.24631;-0.7;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;1.2468;1.24671;0.9;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;1.24688;1.24766;-7.8;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;1.24831;1.24819;1.2;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;1.24888;1.24895;-0.7;EUR;1;Italian Services PMI
2019.01.04 10:50:00;1.24891;1.24889;0.2;EUR;1;French Final Services PMI
2019.01.04 10:55:00;1.24888;1.24923;-3.5;EUR;1;German Final Services PMI
2019.01.04 10:55:00;1.24888;1.24923;-3.5;EUR;1;German Unemployment Change
2019.01.04 11:00:00;1.24919;1.24926;-0.7;EUR;1;Final Services PMI
2019.01.04 11:30:00;1.24882;1.24889;-0.7;GBP;2;Final Services PMI
2019.01.04 11:30:00;1.24882;1.24889;-0.7;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;1.24882;1.24889;-0.7;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;1.24882;1.24889;-0.7;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;1.25062;1.25119;-5.7;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;1.25062;1.25119;-5.7;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;1.25062;1.25119;-5.7;EUR;1;PPI m/m
