time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;139.151;138.91;24.1;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;138.346;138.441;-9.5;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;138.445;138.493;-4.8;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;138.492;138.501;-0.9;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;138.503;138.521;-1.8;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;138.133;138.413;-28.0;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;137.694;137.717;-2.3;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;137.751;137.808;-5.7;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;137.801;137.847;-4.6;NZD;1;GDT Price Index
2019.01.02 16:55:00;137.801;137.847;-4.6;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;134.99;134.908;8.2;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;135.349;135.532;-18.3;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;135.281;135.418;-13.7;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;135.417;135.4;1.7;EUR;1;Private Loans y/y
2019.01.03 11:30:00;135.625;135.47;15.5;GBP;1;Construction PMI
2019.01.03 11:55:00;135.45;135.436;1.4;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;135.156;135.18;-2.4;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;135.221;135.6;-37.9;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;135.736;135.664;7.2;USD;1;Unemployment Claims
2019.01.03 17:00:00;135.376;134.966;41.0;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;135.376;134.966;41.0;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;135.376;134.966;41.0;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;135.376;134.966;41.0;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;136.185;135.969;21.6;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;135.997;136.11;-11.3;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;136.204;136.288;-8.4;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;136.688;136.696;-0.8;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;136.356;136.422;-6.6;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;136.627;136.607;2.0;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;136.783;136.802;-1.9;EUR;1;Italian Services PMI
2019.01.04 10:50:00;136.798;136.804;-0.6;EUR;1;French Final Services PMI
2019.01.04 10:55:00;136.803;136.872;-6.9;EUR;1;German Final Services PMI
2019.01.04 10:55:00;136.803;136.872;-6.9;EUR;1;German Unemployment Change
2019.01.04 11:00:00;136.865;136.802;6.3;EUR;1;Final Services PMI
2019.01.04 11:30:00;136.818;136.804;1.4;GBP;2;Final Services PMI
2019.01.04 11:30:00;136.818;136.804;1.4;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;136.818;136.804;1.4;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;136.818;136.804;1.4;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;136.892;136.807;8.5;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;136.892;136.807;8.5;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;136.892;136.807;8.5;EUR;1;PPI m/m
2019.01.04 12:00:00;136.892;136.807;8.5;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;136.845;136.885;-4.0;CAD;3;Employment Change
2019.01.04 15:30:00;136.845;136.885;-4.0;CAD;3;Unemployment Rate
