time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;73.182;73.154;2.8;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;72.983;73.084;-10.1;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;73.083;73.124;-4.1;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;73.125;73.096;2.9;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;73.095;73.083;1.2;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;73.012;73.038;-2.6;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;72.906;72.878;2.8;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;72.908;72.94;-3.2;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;72.932;73.002;-7.0;NZD;1;GDT Price Index
2019.01.02 16:55:00;72.932;73.002;-7.0;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;71.45;71.485;-3.5;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;71.699;71.768;-6.9;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;71.568;71.636;-6.8;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;71.641;71.628;1.3;EUR;1;Private Loans y/y
2019.01.03 11:30:00;71.642;71.584;5.8;GBP;1;Construction PMI
2019.01.03 11:55:00;71.543;71.499;4.4;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;71.433;71.404;2.9;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;71.456;71.687;-23.1;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;71.655;71.614;4.1;USD;1;Unemployment Claims
2019.01.03 17:00:00;71.719;71.41;30.9;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;71.719;71.41;30.9;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;71.719;71.41;30.9;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;71.719;71.41;30.9;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;72.12;72.014;10.6;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;71.96;72.062;-10.2;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;72.108;72.183;-7.5;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;72.342;72.359;-1.7;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;72.189;72.193;-0.4;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;72.253;72.243;1.0;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;72.264;72.245;1.9;EUR;1;Italian Services PMI
2019.01.04 10:50:00;72.242;72.248;-0.6;EUR;1;French Final Services PMI
2019.01.04 10:55:00;72.249;72.309;-6.0;EUR;1;German Final Services PMI
2019.01.04 10:55:00;72.249;72.309;-6.0;EUR;1;German Unemployment Change
2019.01.04 11:00:00;72.308;72.28;2.8;EUR;1;Final Services PMI
2019.01.04 11:30:00;72.388;72.337;5.1;GBP;2;Final Services PMI
2019.01.04 11:30:00;72.388;72.337;5.1;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;72.388;72.337;5.1;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;72.388;72.337;5.1;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;72.393;72.321;7.2;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;72.393;72.321;7.2;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;72.393;72.321;7.2;EUR;1;PPI m/m
2019.01.04 12:00:00;72.393;72.321;7.2;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;72.219;72.35;-13.1;CAD;3;Employment Change
2019.01.04 15:30:00;72.219;72.35;-13.1;CAD;3;Unemployment Rate
2019.01.04 15:30:00;72.219;72.35;-13.1;CAD;2;RMPI m/m
2019.01.04 15:30:00;72.219;72.35;-13.1;CAD;1;IPPI m/m
2019.01.04 15:30:00;72.219;72.35;-13.1;USD;3;Average Hourly Earnings m/m
2019.01.04 15:30:00;72.219;72.35;-13.1;USD;3;Non-Farm Employment Change
2019.01.04 15:30:00;72.219;72.35;-13.1;USD;3;Unemployment Rate
2019.01.04 16:45:00;72.494;72.472;2.2;USD;1;Final Services PMI
2019.01.04 17:15:00;72.371;72.341;3.0;USD;3;Fed Chair Powell Speaks
2019.01.04 17:30:00;72.709;72.833;-12.4;USD;1;Natural Gas Storage
2019.01.04 18:00:00;72.866;72.834;3.2;USD;1;Crude Oil Inventories
2019.01.07 01:50:00;73.138;73.18;-4.2;JPY;1;Monetary Base y/y
2019.01.07 09:00:00;72.984;72.979;0.5;EUR;1;German Factory Orders m/m
2019.01.07 09:00:00;72.984;72.979;0.5;EUR;1;German Retail Sales m/m
2019.01.07 11:30:00;73.095;73.115;-2.0;EUR;1;Sentix Investor Confidence
2019.01.07 12:00:00;73.106;73.105;0.1;EUR;1;Retail Sales m/m
2019.01.07 17:00:00;73.232;73.322;-9.0;CAD;2;Ivey PMI
2019.01.07 17:00:00;73.232;73.322;-9.0;USD;3;ISM Services PMI
2019.01.08 02:30:00;73.371;73.394;-2.3;AUD;2;Trade Balance
2019.01.08 02:30:00;73.371;73.394;-2.3;AUD;1;ANZ Job Advertisements m/m
2019.01.08 05:35:00;73.293;73.321;-2.8;JPY;1;10-y Bond Auction
2019.01.08 07:05:00;73.433;73.435;-0.2;JPY;1;Consumer Confidence
2019.01.08 08:45:00;73.426;73.387;3.9;CHF;1;Unemployment Rate
2019.01.08 09:00:00;73.432;73.402;3.0;EUR;1;German Industrial Production m/m
2019.01.08 09:30:00;73.443;73.46;-1.7;CHF;1;Retail Sales y/y
2019.01.08 09:45:00;73.439;73.411;2.8;EUR;1;French Trade Balance
2019.01.08 10:30:00;73.342;73.356;-1.4;GBP;1;Halifax HPI m/m
2019.01.08 12:20:00;73.309;73.282;2.7;USD;1;NFIB Small Business Index
2019.01.08 12:35:00;73.27;73.275;-0.5;GBP;1;10-y Bond Auction
2019.01.08 15:30:00;73.091;73.124;-3.3;CAD;3;Trade Balance
2019.01.08 17:00:00;73.117;73.122;-0.5;USD;1;JOLTS Job Openings
2019.01.08 22:00:00;73.042;73.018;2.4;USD;1;Consumer Credit m/m
2019.01.08 23:30:00;73.153;73.155;-0.2;AUD;1;AIG Services Index
2019.01.09 02:00:00;73.326;73.238;8.8;JPY;2;Average Cash Earnings y/y
2019.01.09 02:00:00;73.326;73.238;8.8;NZD;1;ANZ Commodity Prices m/m
2019.01.09 02:30:00;73.353;73.393;-4.0;AUD;2;Building Approvals m/m
2019.01.09 04:00:00;73.429;73.438;-0.9;USD;3;President Trump Speaks
2019.01.09 09:00:00;73.5;73.494;0.6;EUR;1;German Trade Balance
2019.01.09 09:30:00;73.634;73.595;3.9;CHF;1;CPI m/m
2019.01.09 10:00:00;73.583;73.579;0.4;CHF;1;Foreign Currency Reserves
2019.01.09 11:00:00;73.607;73.629;-2.2;EUR;1;Italian Monthly Unemployment Rate
2019.01.09 12:00:00;73.56;73.578;-1.8;EUR;1;Unemployment Rate
2019.01.09 12:30:00;73.599;73.597;0.2;EUR;1;German 10-y Bond Auction
2019.01.09 15:10:00;73.771;73.745;2.6;CAD;1;Housing Starts
2019.01.09 16:00:00;73.761;73.72;4.1;USD;2;FOMC Member Evans Speaks
2019.01.09 17:00:00;73.699;73.702;-0.3;CAD;3;BOC Monetary Policy Report
2019.01.09 17:00:00;73.699;73.702;-0.3;CAD;3;BOC Rate Statement
2019.01.09 17:00:00;73.699;73.702;-0.3;CAD;3;Overnight Rate
2019.01.09 17:30:00;73.542;73.463;7.9;GBP;3;BOE Gov Carney Speaks
2019.01.09 17:30:00;73.542;73.463;7.9;USD;1;Crude Oil Inventories
2019.01.09 18:15:00;73.531;73.523;0.8;CAD;3;BOC Press Conference
2019.01.09 18:30:00;73.591;73.61;-1.9;USD;2;FOMC Member Rosengren Speaks
2019.01.09 20:00:00;73.61;73.566;4.4;USD;1;10-y Bond Auction
2019.01.09 21:00:00;73.613;73.606;0.7;USD;3;FOMC Meeting Minutes
2019.01.10 02:00:00;73.455;73.446;0.9;GBP;1;BRC Retail Sales Monitor y/y
2019.01.10 03:30:00;73.164;73.144;2.0;CNY;1;CPI y/y
2019.01.10 03:30:00;73.164;73.144;2.0;CNY;1;PPI y/y
2019.01.10 05:35:00;73.214;73.223;-0.9;JPY;1;30-y Bond Auction
2019.01.10 07:00:00;73.25;73.205;4.5;JPY;1;Leading Indicators
2019.01.10 09:45:00;73.199;73.143;5.6;EUR;1;French Industrial Production m/m
2019.01.10 11:05:00;73.338;73.283;5.5;EUR;1;Italian Retail Sales m/m
2019.01.10 12:00:00;73.348;73.344;0.4;EUR;1;French 10-y Bond Auction
2019.01.10 12:00:00;73.348;73.344;0.4;GBP;3;Monetary Policy Report Hearings (Tentative)
2019.01.10 14:30:00;73.355;73.405;-5.0;EUR;2;ECB Monetary Policy Meeting Accounts
2019.01.10 15:30:00;73.389;73.415;-2.6;CAD;1;Building Permits m/m
2019.01.10 15:30:00;73.389;73.415;-2.6;CAD;1;NHPI m/m
2019.01.10 15:30:00;73.389;73.415;-2.6;USD;1;Unemployment Claims
2019.01.10 17:30:00;73.4;73.384;1.6;USD;1;Natural Gas Storage
2019.01.10 19:40:00;73.504;73.495;0.9;USD;2;FOMC Member Bullard Speaks
2019.01.10 19:45:00;73.494;73.54;-4.6;USD;3;Fed Chair Powell Speaks
2019.01.10 20:00:00;73.524;73.514;1.0;USD;2;FOMC Member Evans Speaks
2019.01.10 20:00:00;73.524;73.514;1.0;USD;1;30-y Bond Auction
2019.01.10 23:30:00;73.546;73.537;0.9;AUD;1;AIG Construction Index
2019.01.10 23:45:00;73.547;73.553;-0.6;NZD;1;Building Consents m/m
2019.01.11 01:30:00;73.491;73.502;-1.1;JPY;1;Household Spending y/y
2019.01.11 01:50:00;73.479;73.482;-0.3;JPY;1;Bank Lending y/y
2019.01.11 01:50:00;73.479;73.482;-0.3;JPY;1;Current Account
2019.01.11 02:00:00;73.472;73.531;-5.9;USD;2;FOMC Member Clarida Speaks
2019.01.11 02:30:00;73.452;73.536;-8.4;AUD;3;Retail Sales m/m
2019.01.11 07:00:00;73.907;73.915;-0.8;JPY;1;Economy Watchers Sentiment
2019.01.11 11:00:00;73.981;73.98;0.1;EUR;1;Italian Industrial Production m/m
2019.01.11 11:30:00;73.987;74.02;-3.3;GBP;3;GDP m/m
2019.01.11 11:30:00;73.987;74.02;-3.3;GBP;3;Manufacturing Production m/m
2019.01.11 11:30:00;73.987;74.02;-3.3;GBP;1;Construction Output m/m
2019.01.11 11:30:00;73.987;74.02;-3.3;GBP;1;Goods Trade Balance
2019.01.11 11:30:00;73.987;74.02;-3.3;GBP;1;Index of Services 3m/3m
2019.01.11 11:30:00;73.987;74.02;-3.3;GBP;1;Industrial Production m/m
2019.01.11 15:30:00;73.97;73.985;-1.5;USD;3;CPI m/m
2019.01.11 15:30:00;73.97;73.985;-1.5;USD;3;Core CPI m/m
2019.01.11 16:00:00;73.92;73.911;0.9;GBP;1;NIESR GDP Estimate
2019.01.14 02:05:00;73.982;73.998;-1.6;AUD;2;MI Inflation Gauge m/m
2019.01.14 04:55:00;73.821;73.758;6.3;CNY;2;Trade Balance
2019.01.14 05:00:00;73.756;73.684;7.2;CNY;1;USD-Denominated Trade Balance
2019.01.14 09:00:00;73.535;73.549;-1.4;EUR;1;German WPI m/m
2019.01.14 10:00:00;73.541;73.533;0.8;CNY;1;Foreign Direct Investment ytd/y
2019.01.14 12:00:00;73.604;73.56;4.4;EUR;1;Industrial Production m/m
2019.01.14 23:00:00;73.784;73.781;0.3;NZD;2;NZIER Business Confidence
2019.01.14 23:45:00;73.767;73.774;-0.7;NZD;1;FPI m/m
2019.01.15 01:50:00;73.885;73.881;0.4;JPY;1;M2 Money Stock y/y
2019.01.15 07:55:00;74.401;74.438;-3.7;JPY;1;Prelim Machine Tool Orders y/y
2019.01.15 09:45:00;74.326;74.332;-0.6;EUR;1;French Final CPI m/m
2019.01.15 09:45:00;74.326;74.332;-0.6;EUR;1;French Gov Budget Balance
2019.01.15 10:00:00;74.336;74.387;-5.1;CNY;1;M2 Money Supply y/y
2019.01.15 10:00:00;74.336;74.387;-5.1;CNY;1;New Loans
2019.01.15 12:00:00;74.056;74.107;-5.1;EUR;1;Trade Balance
2019.01.15 15:30:00;73.919;73.956;-3.7;USD;3;PPI m/m
2019.01.15 15:30:00;73.919;73.956;-3.7;USD;2;Core PPI m/m
2019.01.15 15:30:00;73.919;73.956;-3.7;USD;1;Empire State Manufacturing Index
2019.01.15 16:10:00;74.011;73.997;1.4;NZD;1;GDT Price Index
2019.01.15 17:00:00;74.146;74.163;-1.7;EUR;3;ECB President Draghi Speaks
2019.01.15 17:00:00;74.146;74.163;-1.7;USD;1;IBD/TIPP Economic Optimism
2019.01.15 20:00:00;73.899;73.889;1.0;USD;2;FOMC Member George Speaks
2019.01.15 21:35:00;73.822;73.765;5.7;GBP;3;Parliament Brexit Vote
2019.01.16 01:30:00;74.028;74.032;-0.4;AUD;2;Westpac Consumer Sentiment
2019.01.16 01:50:00;74.085;74.094;-0.9;JPY;1;Core Machinery Orders m/m
2019.01.16 01:50:00;74.085;74.094;-0.9;JPY;1;PPI y/y
2019.01.16 06:30:00;73.96;73.952;0.8;JPY;1;Tertiary Industry Activity m/m
2019.01.16 09:00:00;74.033;74.037;-0.4;EUR;1;German Final CPI m/m
2019.01.16 11:15:00;73.912;73.909;0.3;GBP;3;BOE Gov Carney Speaks
2019.01.16 11:30:00;73.869;73.861;0.8;GBP;3;CPI y/y
2019.01.16 11:30:00;73.869;73.861;0.8;GBP;2;PPI Input m/m
2019.01.16 11:30:00;73.869;73.861;0.8;GBP;2;RPI y/y
2019.01.16 11:30:00;73.869;73.861;0.8;GBP;1;Core CPI y/y
2019.01.16 11:30:00;73.869;73.861;0.8;GBP;1;HPI y/y
2019.01.16 11:30:00;73.869;73.861;0.8;GBP;1;PPI Output m/m
2019.01.16 12:30:00;73.712;73.712;0.0;EUR;1;German 30-y Bond Auction
2019.01.16 15:30:00;73.653;73.638;1.5;USD;1;Import Prices m/m
2019.01.16 16:30:00;73.729;73.742;-1.3;GBP;1;CB Leading Index m/m
2019.01.16 17:00:00;73.759;73.784;-2.5;USD;1;NAHB Housing Market Index
2019.01.16 17:30:00;73.797;73.758;3.9;USD;1;Crude Oil Inventories
2019.01.16 21:00:00;73.868;73.857;1.1;USD;1;Beige Book
2019.01.16 21:15:00;73.82;73.849;-2.9;GBP;3;Govt Confidence Vote
2019.01.17 02:00:00;73.85;73.817;3.3;AUD;1;MI Inflation Expectations
2019.01.17 02:00:00;73.85;73.817;3.3;GBP;1;RICS House Price Balance
2019.01.17 02:30:00;73.806;73.768;3.8;AUD;1;Home Loans m/m
2019.01.17 02:30:00;73.806;73.768;3.8;All;3;G20 Meetings (Day 1)
2019.01.17 05:20:00;73.699;73.694;0.5;JPY;3;BOJ Gov Kuroda Speaks
2019.01.17 11:00:00;73.31;73.306;0.4;EUR;1;Italian Trade Balance
2019.01.17 11:30:00;73.323;73.379;-5.6;GBP;2;BOE Credit Conditions Survey
2019.01.17 12:00:00;73.276;73.294;-1.8;EUR;1;Final CPI y/y
2019.01.17 12:00:00;73.276;73.294;-1.8;EUR;1;Final Core CPI y/y
2019.01.17 15:30:00;73.298;73.331;-3.3;CAD;1;ADP Non-Farm Employment Change
2019.01.17 15:30:00;73.298;73.331;-3.3;USD;2;Philly Fed Manufacturing Index
2019.01.17 15:30:00;73.298;73.331;-3.3;USD;1;Unemployment Claims
2019.01.17 17:30:00;73.479;73.469;1.0;USD;1;Natural Gas Storage
2019.01.17 17:45:00;73.406;73.362;4.4;USD;2;FOMC Member Quarles Speaks
2019.01.17 23:30:00;73.824;73.828;-0.4;NZD;1;BusinessNZ Manufacturing Index
2019.01.18 01:30:00;73.709;73.712;-0.3;JPY;1;National Core CPI y/y
2019.01.18 01:30:00;73.709;73.712;-0.3;All;3;G20 Meetings (Day 2)
2019.01.18 06:30:00;74.008;73.99;1.8;JPY;1;Revised Industrial Production m/m
2019.01.18 09:30:00;74.039;74.048;-0.9;CHF;1;PPI m/m
2019.01.18 11:00:00;73.941;73.93;1.1;EUR;1;Current Account
2019.01.18 11:30:00;73.998;73.967;3.1;GBP;3;Retail Sales m/m
2019.01.18 15:30:00;74.044;74.044;0.0;CAD;3;CPI m/m
2019.01.18 15:30:00;74.044;74.044;0.0;CAD;2;Common CPI y/y
2019.01.18 15:30:00;74.044;74.044;0.0;CAD;2;Median CPI y/y
2019.01.18 15:30:00;74.044;74.044;0.0;CAD;2;Trimmed CPI y/y
2019.01.18 15:30:00;74.044;74.044;0.0;CAD;1;Foreign Securities Purchases
2019.01.18 15:30:00;74.044;74.044;0.0;CAD;1;Core CPI m/m
2019.01.18 16:05:00;74.079;74.095;-1.6;USD;2;FOMC Member Williams Speaks
2019.01.18 16:15:00;74.075;74.09;-1.5;USD;1;Capacity Utilization Rate
2019.01.18 16:15:00;74.075;74.09;-1.5;USD;1;Industrial Production m/m
2019.01.18 17:00:00;74.065;74.039;2.6;USD;2;Prelim UoM Consumer Sentiment
2019.01.18 17:00:00;74.065;74.039;2.6;USD;1;Prelim UoM Inflation Expectations
2019.01.21 02:00:00;73.917;73.897;2.0;GBP;1;Rightmove HPI m/m
2019.01.21 02:30:00;73.816;73.83;-1.4;AUD;1;HIA New Home Sales m/m
2019.01.21 04:00:00;73.624;73.828;-20.4;CNY;3;GDP q/y
2019.01.21 04:00:00;73.624;73.828;-20.4;CNY;2;Fixed Asset Investment ytd/y
2019.01.21 04:00:00;73.624;73.828;-20.4;CNY;2;Industrial Production y/y
2019.01.21 04:00:00;73.624;73.828;-20.4;CNY;1;NBS Press Conference
2019.01.21 04:00:00;73.624;73.828;-20.4;CNY;1;Retail Sales y/y
2019.01.21 04:00:00;73.624;73.828;-20.4;CNY;1;Unemployment Rate
2019.01.21 09:00:00;73.746;73.746;0.0;EUR;1;German PPI m/m
2019.01.21 13:00:00;73.736;73.743;-0.7;EUR;1;German Buba Monthly Report
2019.01.21 13:00:00;73.736;73.743;-0.7;USD;0;Bank Holiday (All Day)
2019.01.21 17:35:00;73.646;73.661;-1.5;GBP;3;Prime Minister May Speaks
2019.01.22 07:00:00;73.632;73.613;1.9;JPY;1;BOJ Core CPI y/y
2019.01.22 11:30:00;73.45;73.461;-1.1;GBP;3;Average Earnings Index 3m/y
2019.01.22 11:30:00;73.45;73.461;-1.1;GBP;2;Public Sector Net Borrowing
2019.01.22 11:30:00;73.45;73.461;-1.1;GBP;2;Unemployment Rate
2019.01.22 11:30:00;73.45;73.461;-1.1;GBP;1;Claimant Count Change
2019.01.22 12:00:00;73.436;73.446;-1.0;EUR;2;German ZEW Economic Sentiment
2019.01.22 12:00:00;73.436;73.446;-1.0;EUR;1;ZEW Economic Sentiment
2019.01.22 15:30:00;73.53;73.53;0.0;CAD;2;Manufacturing Sales m/m
2019.01.22 15:30:00;73.53;73.53;0.0;CAD;1;Wholesale Sales m/m
2019.01.22 17:00:00;73.53;73.507;2.3;USD;1;Existing Home Sales
2019.01.22 17:30:00;73.527;73.585;-5.8;AUD;1;CB Leading Index m/m
2019.01.22 23:45:00;73.468;73.673;-20.5;NZD;3;CPI q/q
2019.01.23 01:30:00;73.76;73.748;1.2;AUD;1;MI Leading Index m/m
2019.01.23 01:50:00;73.791;73.822;-3.1;JPY;1;Trade Balance
2019.01.23 04:55:00;74.247;74.202;4.5;JPY;3;BOJ Outlook Report
