time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;0.67022;0.67024;-0.2;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;0.67;0.67039;-3.9;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;0.67039;0.67061;-2.2;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;0.67061;0.67089;-2.8;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;0.67088;0.67074;1.4;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;0.67073;0.67088;-1.5;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;0.66724;0.66703;2.1;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;0.6671;0.66731;-2.1;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;0.66712;0.66766;-5.4;NZD;1;GDT Price Index
2019.01.02 16:55:00;0.66712;0.66766;-5.4;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;0.66439;0.66459;-2.0;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;0.66517;0.66488;2.9;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;0.66486;0.66478;0.8;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;0.66479;0.66464;1.5;EUR;1;Private Loans y/y
2019.01.03 11:30:00;0.66464;0.66453;1.1;GBP;1;Construction PMI
2019.01.03 11:55:00;0.66423;0.66413;1.0;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;0.66361;0.66354;0.7;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;0.66408;0.66398;1.0;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;0.66433;0.66432;0.1;USD;1;Unemployment Claims
2019.01.03 17:00:00;0.66587;0.66626;-3.9;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;0.66587;0.66626;-3.9;USD;1;ISM Manufacturing Prices
2019.01.03 17:00:00;0.66587;0.66626;-3.9;USD;1;Total Vehicle Sales (All Day)
2019.01.03 17:00:00;0.66587;0.66626;-3.9;USD;1;Wards Total Vehicle Sales (All Day)
2019.01.04 02:00:00;0.66872;0.66866;0.6;GBP;1;BRC Shop Price Index y/y
2019.01.04 02:30:00;0.66811;0.66845;-3.4;JPY;1;Final Manufacturing PMI
2019.01.04 03:45:00;0.66934;0.66957;-2.3;CNY;2;Caixin Services PMI
2019.01.04 08:55:00;0.66878;0.66883;-0.5;GBP;1;Nationwide HPI m/m
2019.01.04 09:45:00;0.669;0.66902;-0.2;EUR;1;French Prelim CPI m/m
2019.01.04 10:15:00;0.66956;0.66943;1.3;EUR;1;Spanish Services PMI
2019.01.04 10:45:00;0.66927;0.66904;2.3;EUR;1;Italian Services PMI
2019.01.04 10:50:00;0.66902;0.66911;-0.9;EUR;1;French Final Services PMI
2019.01.04 10:55:00;0.66911;0.66929;-1.8;EUR;1;German Final Services PMI
2019.01.04 10:55:00;0.66911;0.66929;-1.8;EUR;1;German Unemployment Change
2019.01.04 11:00:00;0.6693;0.66951;-2.1;EUR;1;Final Services PMI
2019.01.04 11:30:00;0.67031;0.67003;2.8;GBP;2;Final Services PMI
2019.01.04 11:30:00;0.67031;0.67003;2.8;GBP;2;Net Lending to Individuals m/m
2019.01.04 11:30:00;0.67031;0.67003;2.8;GBP;1;M4 Money Supply m/m
2019.01.04 11:30:00;0.67031;0.67003;2.8;GBP;1;Mortgage Approvals
2019.01.04 12:00:00;0.67012;0.66961;5.1;EUR;2;CPI Flash Estimate y/y
2019.01.04 12:00:00;0.67012;0.66961;5.1;EUR;2;Core CPI Flash Estimate y/y
2019.01.04 12:00:00;0.67012;0.66961;5.1;EUR;1;PPI m/m
2019.01.04 12:00:00;0.67012;0.66961;5.1;EUR;1;Italian Prelim CPI m/m
2019.01.04 15:30:00;0.66827;0.66871;-4.4;CAD;3;Employment Change
2019.01.04 15:30:00;0.66827;0.66871;-4.4;CAD;3;Unemployment Rate
2019.01.04 15:30:00;0.66827;0.66871;-4.4;CAD;2;RMPI m/m
2019.01.04 15:30:00;0.66827;0.66871;-4.4;CAD;1;IPPI m/m
2019.01.04 15:30:00;0.66827;0.66871;-4.4;USD;3;Average Hourly Earnings m/m
2019.01.04 15:30:00;0.66827;0.66871;-4.4;USD;3;Non-Farm Employment Change
2019.01.04 15:30:00;0.66827;0.66871;-4.4;USD;3;Unemployment Rate
2019.01.04 16:45:00;0.66781;0.66772;0.9;USD;1;Final Services PMI
2019.01.04 17:15:00;0.66804;0.66794;1.0;USD;3;Fed Chair Powell Speaks
2019.01.04 17:30:00;0.6714;0.67221;-8.1;USD;1;Natural Gas Storage
2019.01.04 18:00:00;0.67399;0.67367;3.2;USD;1;Crude Oil Inventories
2019.01.07 01:50:00;0.67401;0.67408;-0.7;JPY;1;Monetary Base y/y
2019.01.07 09:00:00;0.6745;0.6748;-3.0;EUR;1;German Factory Orders m/m
2019.01.07 09:00:00;0.6745;0.6748;-3.0;EUR;1;German Retail Sales m/m
2019.01.07 11:30:00;0.67596;0.676;-0.4;EUR;1;Sentix Investor Confidence
2019.01.07 12:00:00;0.67566;0.67587;-2.1;EUR;1;Retail Sales m/m
2019.01.07 17:00:00;0.67618;0.67589;2.9;CAD;2;Ivey PMI
2019.01.07 17:00:00;0.67618;0.67589;2.9;USD;3;ISM Services PMI
2019.01.08 02:30:00;0.6752;0.67519;0.1;AUD;2;Trade Balance
2019.01.08 02:30:00;0.6752;0.67519;0.1;AUD;1;ANZ Job Advertisements m/m
2019.01.08 05:35:00;0.67447;0.67426;2.1;JPY;1;10-y Bond Auction
2019.01.08 07:05:00;0.67397;0.6738;1.7;JPY;1;Consumer Confidence
2019.01.08 08:45:00;0.67439;0.67411;2.8;CHF;1;Unemployment Rate
2019.01.08 09:00:00;0.67441;0.67418;2.3;EUR;1;German Industrial Production m/m
2019.01.08 09:30:00;0.67376;0.67388;-1.2;CHF;1;Retail Sales y/y
2019.01.08 09:45:00;0.67392;0.67351;4.1;EUR;1;French Trade Balance
2019.01.08 10:30:00;0.67327;0.67339;-1.2;GBP;1;Halifax HPI m/m
2019.01.08 12:20:00;0.6736;0.67339;2.1;USD;1;NFIB Small Business Index
2019.01.08 12:35:00;0.67352;0.67365;-1.3;GBP;1;10-y Bond Auction
2019.01.08 15:30:00;0.67193;0.67213;-2.0;CAD;3;Trade Balance
2019.01.08 17:00:00;0.6717;0.67174;-0.4;USD;1;JOLTS Job Openings
2019.01.08 22:00:00;0.67233;0.67222;1.1;USD;1;Consumer Credit m/m
2019.01.08 23:30:00;0.67246;0.67242;0.4;AUD;1;AIG Services Index
2019.01.09 02:00:00;0.67424;0.67353;7.1;JPY;2;Average Cash Earnings y/y
2019.01.09 02:00:00;0.67424;0.67353;7.1;NZD;1;ANZ Commodity Prices m/m
2019.01.09 02:30:00;0.67431;0.67464;-3.3;AUD;2;Building Approvals m/m
2019.01.09 04:00:00;0.67495;0.67486;0.9;USD;3;President Trump Speaks
2019.01.09 09:00:00;0.67533;0.67527;0.6;EUR;1;German Trade Balance
2019.01.09 09:30:00;0.67576;0.67558;1.8;CHF;1;CPI m/m
