time;open;close;diff openclose;currency;impact;news
2019.01.02 10:15:00;1.36013;1.3606099999999999;-4.8;EUR;1;Spanish Manufacturing PMI
2019.01.02 10:45:00;1.36228;1.36192;3.6;EUR;1;Italian Manufacturing PMI
2019.01.02 10:50:00;1.36191;1.36167;2.4;EUR;1;French Final Manufacturing PMI
2019.01.02 10:55:00;1.36167;1.36199;-3.2;EUR;1;German Final Manufacturing PMI
2019.01.02 11:00:00;1.36198;1.36325;-12.7;EUR;1;Final Manufacturing PMI
2019.01.02 11:30:00;1.3624800000000001;1.36245;0.3;GBP;2;Final Manufacturing PMI
2019.01.02 16:30:00;1.36265;1.36315;-5.0;CAD;1;Manufacturing PMI
2019.01.02 16:45:00;1.36364;1.3630900000000001;5.5;USD;1;Final Manufacturing PMI
2019.01.02 16:55:00;1.3637000000000001;1.3625;12.0;NZD;1;GDT Price Index
2019.01.02 16:55:00;1.3637000000000001;1.3625;12.0;JPY;0;Bank Holiday (All Day)
2019.01.03 10:00:00;1.36175;1.3620700000000001;-3.2;EUR;1;Spanish Unemployment Change
2019.01.03 10:30:00;1.36135;1.36161;-2.6;CHF;1;Manufacturing PMI
2019.01.03 11:00:00;1.3617;1.36129;4.1;EUR;1;M3 Money Supply y/y
2019.01.03 11:05:00;1.36129;1.36174;-4.5;EUR;1;Private Loans y/y
2019.01.03 11:30:00;1.36134;1.36171;-3.7;GBP;1;Construction PMI
2019.01.03 11:55:00;1.36136;1.36185;-4.9;EUR;1;Spanish 10-y Bond Auction
2019.01.03 14:30:00;1.3600400000000001;1.35882;12.2;USD;1;Challenger Job Cuts y/y
2019.01.03 15:15:00;1.35615;1.35507;10.8;USD;2;ADP Non-Farm Employment Change
2019.01.03 15:30:00;1.35397;1.3544;-4.3;USD;1;Unemployment Claims
2019.01.03 17:00:00;1.35188;1.3542;-23.2;USD;3;ISM Manufacturing PMI
2019.01.03 17:00:00;1.35188;1.3542;-23.2;USD;1;ISM Manufacturing Prices
